Вологодская;https://vologodskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=35&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Калининградская;https://kaliningradskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=39&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Карелия;https://kareliya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=10&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Коми;https://komi.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=11&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Мурманская;https://murmanskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=51&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Новгородская;https://novgorodskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=53&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Псковская;https://pskovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=60&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Алтайский;https://altayskij-kray.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=22&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Бурятия;https://buryatiya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=3&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Забайкальский;https://zabaykalskij-kray.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=75&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Иркутская;https://irkutskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=38&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Кемеровская;https://kemerovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=42&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Красноярский;https://krasnoyarskij-kray.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=24&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Новосибирская;https://novosibirskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=54&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Омская;https://omskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=55&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Республика Алтай;https://altay.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=4&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Томская;https://tomskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=70&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Тыва;https://tiva.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=17&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Хакасия;https://hakasiya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=19&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Башкортостан;https://bashkortostan.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=2&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Кировская;https://kirovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=43&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Республика Марий Эл;https://marij-el.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=12&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Мордовия;https://mordoviya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=13&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Нижегородская;https://nizhegorodskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=52&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Оренбургская;https://orenburgskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=56&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Пензенская;https://penzenskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=58&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Пермский;https://permskij-kray.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=59&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Самарская;https://samarskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=63&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Саратовская;https://saratovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=64&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Татарстан;https://tatarstan.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=16&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Удмуртия;https://udmurtskaya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=18&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Ульяновская;https://ulyanovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=73&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Чувашия;https://chuvashskaya.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=21&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Курганская;https://kurganskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=45&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Свердловская;https://sverdlovskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=66&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Тюменская;https://tyumenskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=72&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Ханты-Мансийский;https://hmao.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=86&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Челябинская;https://chelyabinskaya-oblast.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=74&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
Ямало-Ненецкий;https://yanao.zarplata.ru/api/v1/collapsed_vacancies?search_type=fullThrottle&offset=0&limit=100&average_salary=true&categories_facets=true&highlight=true&state=1&explain=1&geo_id=89&agglomeration_vacancies_count_facets=1&rubric_filter_mode=new
